rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
1,36.84,,Jamaica,JAM,1,"Olympic Stadium, London (GBR)",2012-08-11,1318.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,36.84,GBR,2012
2,37.04,,Jamaica,JAM,1,"DS, Daegu (KOR)",2011-09-04,1302.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.04,KOR,2011
3,37.1,,United States,USA,1,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1297.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.1,QAT,2019
4,37.27,,Jamaica,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1283.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.27,BRA,2016
5,37.31,,Jamaica,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-22,1280.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.31,GER,2009
6,37.36,,Great Britain & NI,GBR,2,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,QAT,2019
6,37.36,,Jamaica,JAM,1,"National Stadium, Beijing (CHN)",2015-08-29,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,CHN,2015
6,37.36,,Jamaica,JAM,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,RUS,2013
9,37.38,,United States,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1275.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.38,HUN,2023
9,37.38,,United States,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",2015-05-02,1275.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.38,BAH,2015
11,37.39,,Jamaica,JAM,1h1,"Olympic Stadium, London (GBR)",2012-08-10,1274.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.39,GBR,2012
12,37.4,,United States,USA,1f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,BAH,2024
12,37.4,,United States,USA,1sf1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-21,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,GER,1993
12,37.4,,United States,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-08,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,ESP,1992
15,37.41,,Jamaica,JAM,1h2,"National Stadium, Beijing (CHN)",2015-08-29,1272.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.41,CHN,2015
16,37.43,,Japan,JPN,3,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1271.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.43,QAT,2019
17,37.45,,United States,USA,1,"Letzigrund, Zürich (SUI)",2010-08-19,1269.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.45,SUI,2010
18,37.47,,United States,USA,1h1,"Stade de France, Paris (FRA)",2024-08-08,1268.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.47,FRA,2024
18,37.47,,Great Britain & NI,GBR,1,"Olympic Stadium, London (GBR)",2017-08-12,1268.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.47,GBR,2017
20,37.48,,United States,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1267.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.48,GER,1993
20,37.48,,Canada,CAN,1,"Hayward Field, Eugene, OR (USA)",2022-07-23,1267.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.48,USA,2022
22,37.49,,United States,USA,11,"The Bahamas National Stadium, Nassau (BAH)",2024-05-04,1266.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.49,BAH,2024
23,37.5,,Canada,CAN,1,"Stade de France, Paris (FRA)",2024-08-09,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,FRA,2024
23,37.5,,Italy,ITA,1,"National Stadium, Tokyo (JPN)",2021-08-06,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,JPN,2021
23,37.5,,United States,USA,1,"National Stadium, Tokyo (JPN)",1991-09-01,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,JPN,1991
26,37.52,,United States,USA,2,"Olympic Stadium, London (GBR)",2017-08-12,1264.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.52,GBR,2017
27,37.55,,United States,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-23,1261.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.55,USA,2022
28,37.56,,Great Britain & NI,GBR,1h1,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1260.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.56,QAT,2019
29,37.57,,South Africa,RSA,2,"Stade de France, Paris (FRA)",2024-08-09,1260.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.57,FRA,2024
30,37.58,,Jamaica,JAM,1,"Hampden Park, Glasgow (GBR)",2014-08-02,1259.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.58,GBR,2014
30,37.58,,United States Red,USA,1,"Stade Louis II, Monaco (MON)",2013-07-19,1259.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.58,MON,2013
32,37.59,,United States,USA,1,"Olympic Stadium, Athina (GRE)",2006-09-16,1258.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.59,GRE,2006
32,37.59,,United States,USA,1,"La Cartuja, Sevilla (ESP)",1999-08-29,1258.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.59,ESP,1999
34,37.6,,Japan,JPN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1257.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.6,BRA,2016
34,37.6,,Great Britain & NI,GBR,1,"Olympic Stadium, London (GBR)",2019-07-21,1257.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.6,GBR,2019
36,37.61,,United States,USA,1,"Olympic Stadium, Sydney (AUS)",2000-09-30,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.61,AUS,2000
36,37.61,,Great Britain & NI,GBR,1,"Olympic Stadium, London (GBR)",2018-07-22,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.61,GBR,2018
36,37.61,,South Africa,RSA,1f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.61,CHN,2025
36,37.61,,Great Britain & NI,GBR,3,"Stade de France, Paris (FRA)",2024-08-09,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.61,FRA,2024
40,37.62,,Italy,ITA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.62,HUN,2023
40,37.62,,Trinidad and Tobago,TTO,2,"Olympiastadion, Berlin (GER)",2009-08-22,1256.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.62,GER,2009
42,37.64,,Canada,CAN,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1254.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.64,BRA,2016
43,37.65,,Italy,ITA,1h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.65,HUN,2023
43,37.65,,South Africa,RSA,1h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.65,QAT,2019
43,37.65,,United States,USA,1h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.65,BRA,2016
43,37.65,,HSI,USA,1,"Olympiastadion, Berlin (GER)",2000-09-01,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.65,GER,2000
47,37.66,,United States,USA,2f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.66,CHN,2025
47,37.66,,United States,USA,2,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1253.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.66,RUS,2013
49,37.67,,Gainesville Elite,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2024-03-30,1252.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.67,USA,2024
49,37.67,,Great Britain & NI,GBR,1,"Olympiastadion, München (GER)",2022-08-21,1252.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.67,GER,2022
49,37.67,,United States,USA,1h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1252.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.67,HUN,2023
49,37.67,,United States,USA,1,"Letzigrund, Zürich (SUI)",1991-08-07,1252.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.67,SUI,1991
53,37.68,,Jamaica,JAM,2f1,"T. Robinson Stadium, Nassau (BAH)",2015-05-02,1251.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.68,BAH,2015
53,37.68,,Jamaica,JAM,2h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1251.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.68,HUN,2023
53,37.68,,Italy,ITA,4,"Stade de France, Paris (FRA)",2024-08-09,1251.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.68,FRA,2024
53,37.68,,Japan,JPN,1h2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1251.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.68,BRA,2016
57,37.69,,Canada,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,1250.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.69,USA,1996
58,37.7,,Jamaica,JAM,1,"Letzigrund, Zürich (SUI)",2009-08-28,1249.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.7,SUI,2009
58,37.7,,United States,USA,1h1,"Olympic Stadium, London (GBR)",2017-08-12,1249.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.7,GBR,2017
58,37.7,,Canada,CAN,2,"National Stadium, Tokyo (JPN)",2021-08-06,1249.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.7,JPN,2021
61,37.71,,Jamaica,JAM,1h2,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1249.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.71,BAH,2014
61,37.71,,Japan,JPN,3h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1249.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.71,HUN,2023
63,37.72,,South Africa,RSA,2h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1248.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.72,HUN,2023
63,37.72,,Brazil,BRA,4,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1248.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.72,QAT,2019
65,37.73,,South Africa,RSA,5,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1247.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.73,QAT,2019
65,37.73,,Great Britain & NI,GBR,2,"La Cartuja, Sevilla (ESP)",1999-08-29,1247.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.73,ESP,1999
65,37.73,,United States,USA,2,"Letzigrund, Zürich (SUI)",2009-08-28,1247.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.73,SUI,2009
68,37.75,,United States,USA,1h2,"National Stadium, Tokyo (JPN)",1991-08-31,1245.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.75,JPN,1991
68,37.75,,Racers Track Club,JAM,1,"Olympic Stadium, London (GBR)",2013-07-27,1245.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.75,GBR,2013
70,37.76,,Jamaica,JAM,2,"Letzigrund, Zürich (SUI)",2010-08-19,1245.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.76,SUI,2010
70,37.76,,Great Britain & NI,GBR,2h1,"Olympic Stadium, London (GBR)",2017-08-12,1245.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.76,GBR,2017
70,37.76,,Jamaica,JAM,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1245.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.76,HUN,2023
73,37.77,,Great Britain & NI,GBR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1244.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.77,GER,1993
73,37.77,,United States,USA,1,"Olympiastadion, Berlin (GER)",2003-08-10,1244.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.77,GER,2003
73,37.77,,Jamaica,JAM,1f1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1244.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.77,BAH,2014
76,37.78,,Japan,JPN,5,"Stade de France, Paris (FRA)",2024-08-09,1243.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.78,FRA,2024
76,37.78,,Japan,JPN,2h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1243.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.78,QAT,2019
76,37.78,,Japan,JPN,2,"Olympic Stadium, London (GBR)",2019-07-21,1243.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.78,GBR,2019
76,37.78,,Great Britain & NI,GBR,1,"Olympic Stadium, London (GBR)",2016-07-23,1243.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.78,GBR,2016
76,37.78,,United States,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1243.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.78,JPN,2007
81,37.79,,Santa Monica Track Club,USA,1,"Stade Louis II, Monaco (MON)",1991-08-03,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,MON,1991
81,37.79,,Santa Monica Track Club,USA,1,"Walnut, CA (USA)",1994-04-17,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,USA,1994
81,37.79,,United States,USA,1h1,"DS, Daegu (KOR)",2011-09-04,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,KOR,2011
81,37.79,,PR of China,CHN,3h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,QAT,2019
81,37.79,,PR of China,CHN,3,"National Stadium, Tokyo (JPN)",2021-08-06,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,JPN,2021
81,37.79,,France,FRA,1,"Poljud Stadion, Split (CRO)",1990-09-01,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.79,CRO,1990
87,37.8,,United States Red,USA,1,"Crystal Palace, London (GBR)",2008-07-26,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.8,GBR,2008
87,37.8,,Great Britain & NI,GBR,1,"Olympiastadion, Berlin (GER)",2018-08-12,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.8,GER,2018
87,37.8,,Canada,CAN,1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-01,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.8,USA,2023
87,37.8,,Japan,JPN,1,"Olympic Stadium, London (GBR)",2023-07-23,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.8,GBR,2023
87,37.8,,Great Britain & NI,GBR,4,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1242.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.8,HUN,2023
92,37.81,,France,FRA,6,"Stade de France, Paris (FRA)",2024-08-09,1241.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.81,FRA,2024
92,37.81,,Great Britain & NI B,GBR,2,"Olympic Stadium, London (GBR)",2016-07-23,1241.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.81,GBR,2016
94,37.82,,World All-Stars,INT,2,"Walnut, CA (USA)",1994-04-17,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,USA,1994
94,37.82,,United States,USA,1sf1,"Olympic Stadium, Sydney (AUS)",2000-09-29,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,AUS,2000
94,37.82,,Racers Track Club,JAM,1,Kingston (JAM),2012-04-14,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,JAM,2012
94,37.82,,PR of China,CHN,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,BRA,2016
94,37.82,,Jamaica,JAM,1h1,"National Stadium, Tokyo (JPN)",2021-08-05,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,JPN,2021
94,37.82,,Italy,ITA,1,"Stadio Olimpico, Roma (ITA)",2024-06-12,1240.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.82,ITA,2024
100,37.83,,United States,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-11,1239.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.83,USA,1984
100,37.83,,United States Blue,USA,1,"Stade Louis II, Monaco (MON)",2012-07-20,1239.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.83,MON,2012
100,37.83,,Great Britain & NI,GBR,3,"Hayward Field, Eugene, OR (USA)",2022-07-23,1239.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.83,USA,2022
100,37.83,,Japan,JPN,5,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1239.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.83,HUN,2023
100,37.83,,Canada,CAN,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1239.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.83,GER,1993
105,37.84,,Great Britain & NI,GBR,1h1,"Olympiastadion, Berlin (GER)",2018-08-12,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.84,GER,2018
105,37.84,,South Africa,RSA,12,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-10,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.84,CHN,2025
105,37.84,,Japan,JPN,13,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-10,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.84,CHN,2025
105,37.84,,Jamaica,JAM,4,"National Stadium, Tokyo (JPN)",2021-08-06,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.84,JPN,2021
109,37.85,,United States Red,USA,1,Cottbus (GER),2009-08-08,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.85,GER,2009
109,37.85,,Japan,JPN,1,"Yanmar Stadium Nagai, Osaka (JPN)",2018-05-20,1238.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.85,JPN,2018
111,37.86,,United States,USA,1,"Olympiastadion, Helsinki (FIN)",1983-08-10,1237.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.86,FIN,1983
111,37.86,,Canada,CAN,1,"Olympic Stadium, Athina (GRE)",1997-08-10,1237.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.86,GRE,1997
111,37.86,,United States,USA,14,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-10,1237.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.86,CHN,2025
114,37.87,,France,FRA,2,"National Stadium, Tokyo (JPN)",1991-09-01,1236.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.87,JPN,1991
114,37.87,,United States,USA,1h3,"T. Robinson Stadium, Nassau (BAH)",2015-05-02,1236.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.87,BAH,2015
114,37.87,,United States,USA,1h1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1236.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.87,USA,2022
114,37.87,,Australia Gold,AUS,1,"SOPAC, Sydney (AUS)",2025-03-15,1236.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.87,AUS,2025
114,37.87,,United States,USA,1,"Stade Louis II, Monaco (MON)",2015-07-17,1236.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.87,MON,2015
119,37.88,,HSI,USA,1,"Austin, TX (USA)",2001-04-07,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.88,USA,2001
119,37.88,,France,FRA,2h2,"National Stadium, Beijing (CHN)",2015-08-29,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.88,CHN,2015
119,37.88,,France,FRA,4h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.88,QAT,2019
122,37.89,,Canada,CAN,3h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.89,BRA,2016
122,37.89,,Santa Monica Track Club,USA,1,"Austin, TX (USA)",1994-04-07,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.89,USA,1994
122,37.89,,Jamaica,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.89,JPN,2007
122,37.89,,Canada,CAN,2f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1235.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.89,BAH,2024
126,37.9,,Great Britain & NI,GBR,3,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,JPN,2007
126,37.9,,PR of China,CHN,4,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,BRA,2016
126,37.9,,Jamaica Gold,JAM,1,"Philadelphia, PA (USA)",2010-04-24,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,USA,2010
126,37.9,,United States,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-06,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,ITA,1987
126,37.9,,LSU,INT,1f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,USA,2023
126,37.9,,United States,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2025-04-19,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,USA,2025
126,37.9,,Brazil,BRA,2h1,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,QAT,2019
126,37.9,,Brazil,BRA,2,"Olympic Stadium, Sydney (AUS)",2000-09-30,1234.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.9,AUS,2000
134,37.91,,Trinidad and Tobago,TTO,1h2,"DS, Daegu (KOR)",2011-09-04,1233.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.91,KOR,2011
134,37.91,,United States,USA,1h1,"National Stadium, Beijing (CHN)",2015-08-29,1233.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.91,CHN,2015
134,37.91,,Netherlands,NED,5h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1233.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.91,QAT,2019
134,37.91,,Canada,CAN,6h2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1233.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.91,QAT,2019
138,37.92,,Canada,CAN,3,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,RUS,2013
138,37.92,,PR of China,CHN,3h2,"National Stadium, Beijing (CHN)",2015-08-29,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,CHN,2015
138,37.92,,PR of China,CHN,1h2,"National Stadium, Tokyo (JPN)",2021-08-05,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,JPN,2021
138,37.92,,Canada,CAN,2h2,"National Stadium, Tokyo (JPN)",2021-08-05,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,JPN,2021
138,37.92,,United States Blue,USA,1f4,"Philadelphia, PA (USA)",2009-04-25,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,USA,2009
138,37.92,,United States,USA,1,München (GER),2004-08-08,1232.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.92,GER,2004
144,37.93,,HSI,INT,1,"Crystal Palace, London (GBR)",2001-07-22,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.93,GBR,2001
144,37.93,,Santa Monica Track Club,USA,1f1,Barcelona (ESP),1990-07-16,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.93,ESP,1990
144,37.93,,Great Britain & NI,GBR,1h1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.93,BAH,2014
144,37.93,,Florida,USA,2f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.93,USA,2023
144,37.93,,Great Britain & NI,GBR,1,"Letzigrund, Zürich (SUI)",2014-08-17,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.93,SUI,2014
149,37.94,,Nigeria,NGR,1sf2,"Olympic Stadium, Athina (GRE)",1997-08-09,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.94,GRE,1997
149,37.94,,South Africa,RSA,2h1,"Stade de France, Paris (FRA)",2024-08-08,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.94,FRA,2024
149,37.94,,Jamaica,JAM,2h2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.94,BRA,2016
149,37.94,,France,FRA,2,"Olympiastadion, München (GER)",2022-08-21,1231.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.94,GER,2022
